a,subtype,type
4024552,HF,Comorbidities
316139,HF,Comorbidities
319835,HF,Comorbidities
443580,HF,Comorbidities
444031,HF,Comorbidities
443587,HF,Comorbidities
442310,HF,Comorbidities
444101,HF,Comorbidities
4273632,HF,Comorbidities
4199500,HF,Comorbidities
4124705,HF,Comorbidities
4233224,HF,Comorbidities
43530961,HF,Comorbidities
4341778,HF,Comorbidities
4172864,HF,Comorbidities
45766164,HF,Comorbidities
4111554,HF,Comorbidities
619797,HF,Comorbidities
4103448,HF,Comorbidities
4071869,HF,Comorbidities
4004279,HF,Comorbidities
439846,HF,Comorbidities
40482857,HF,Comorbidities
40486933,HF,Comorbidities
4259490,HF,Comorbidities
43021735,HF,Comorbidities
4205558,HF,Comorbidities
4215689,HF,Comorbidities
43020657,HF,Comorbidities
4108244,HF,Comorbidities
37311948,HF,Comorbidities
4030518,CKD,Comorbidities
4134595,CKD,Comorbidities
46271022,CKD,Comorbidities
198185,CKD,Comorbidities
45768812,CKD,Comorbidities
443597,CKD,Comorbidities
443612,CKD,Comorbidities
443611,CKD,Comorbidities
443601,CKD,Comorbidities
443614,CKD,Comorbidities
44782429,CKD,Comorbidities
37017104,CKD,Comorbidities
764011,CKD,Comorbidities
606381,CKD,Comorbidities
36716184,CKD,Comorbidities
36717349,CKD,Comorbidities
36716455,CKD,Comorbidities
45773688,CKD,Comorbidities
4102647,CKD,Comorbidities
36715491,CKD,Comorbidities
36717534,CKD,Comorbidities
606951,CKD,Comorbidities
606984,CKD,Comorbidities
606986,CKD,Comorbidities
606976,CKD,Comorbidities
606978,CKD,Comorbidities
43531578,CKD,Comorbidities
36716947,CKD,Comorbidities
201820,T2DM,Comorbidities
201826,T2DM,Comorbidities
443732,T2DM,Comorbidities
376065,T2DM,Comorbidities
443731,T2DM,Comorbidities
443729,T2DM,Comorbidities
36717156,T2DM,Comorbidities
443734,T2DM,Comorbidities
201530,T2DM,Comorbidities
443733,T2DM,Comorbidities
45769906,T2DM,Comorbidities
4226121,T2DM,Comorbidities
45770928,T2DM,Comorbidities
45769905,T2DM,Comorbidities
45769890,T2DM,Comorbidities
45769888,T2DM,Comorbidities
45769894,T2DM,Comorbidities
45757075,T2DM,Comorbidities
45769875,T2DM,Comorbidities
45769872,T2DM,Comorbidities
4230254,T2DM,Comorbidities
36684827,T2DM,Comorbidities
45770883,T2DM,Comorbidities
45770880,T2DM,Comorbidities
45770881,T2DM,Comorbidities
45772019,T2DM,Comorbidities
35626070,T2DM,Comorbidities
604741,T2DM,Comorbidities
37018728,T2DM,Comorbidities
4221487,T2DM,Comorbidities
4221495,T2DM,Comorbidities
608884,T2DM,Comorbidities
4099651,T2DM,Comorbidities
45757499,T2DM,Comorbidities
37309630,T2DM,Comorbidities
4177050,T2DM,Comorbidities
4099216,T2DM,Comorbidities
45757450,T2DM,Comorbidities
45757449,T2DM,Comorbidities
36714116,T2DM,Comorbidities
4223739,T2DM,Comorbidities
45757446,T2DM,Comorbidities
45757447,T2DM,Comorbidities
45757444,T2DM,Comorbidities
45757445,T2DM,Comorbidities
46274058,T2DM,Comorbidities
4129519,T2DM,Comorbidities
45769835,T2DM,Comorbidities
3194082,T2DM,Comorbidities
45769836,T2DM,Comorbidities
761053,T2DM,Comorbidities
36712686,T2DM,Comorbidities
45769828,T2DM,Comorbidities
36712687,T2DM,Comorbidities
602345,T2DM,Comorbidities
45770832,T2DM,Comorbidities
761063,T2DM,Comorbidities
36712670,T2DM,Comorbidities
37312203,T2DM,Comorbidities
37312202,T2DM,Comorbidities
37016768,T2DM,Comorbidities
45770830,T2DM,Comorbidities
37312205,T2DM,Comorbidities
37312204,T2DM,Comorbidities
45770831,T2DM,Comorbidities
45757363,T2DM,Comorbidities
37018912,T2DM,Comorbidities
37016354,T2DM,Comorbidities
43531651,T2DM,Comorbidities
4228443,T2DM,Comorbidities
43531653,T2DM,Comorbidities
45766052,T2DM,Comorbidities
43530685,T2DM,Comorbidities
766253,T2DM,Comorbidities
37016349,T2DM,Comorbidities
43530656,T2DM,Comorbidities
45757435,T2DM,Comorbidities
609096,T2DM,Comorbidities
609099,T2DM,Comorbidities
45763582,T2DM,Comorbidities
609101,T2DM,Comorbidities
609103,T2DM,Comorbidities
4130162,T2DM,Comorbidities
609095,T2DM,Comorbidities
609112,T2DM,Comorbidities
609114,T2DM,Comorbidities
609117,T2DM,Comorbidities
609116,T2DM,Comorbidities
609119,T2DM,Comorbidities
609105,T2DM,Comorbidities
609104,T2DM,Comorbidities
43530689,T2DM,Comorbidities
43530690,T2DM,Comorbidities
609106,T2DM,Comorbidities
609109,T2DM,Comorbidities
45757392,T2DM,Comorbidities
