"","Overall","acei","acei_arb_diuretic","arb","bb_diuretics","beta_blockers","ccb","ccb_acei_arb","diuretics","SMD"
"n"," 31450","  8055","   971","  5301","   546","  4736","  5179","   910","  5752",""
"age (mean (SD))"," 63.86 (14.82)"," 62.03 (14.14)"," 65.93 (13.60)"," 63.13 (14.50)"," 69.43 (12.95)"," 67.43 (15.79)"," 63.36 (15.85)"," 68.69 (15.55)"," 62.97 (13.64)"," 0.237"
"gender = M (%)"," 16955 (53.9) ","  4952 (61.5) ","   441 (45.4) ","  3141 (59.3) ","   207 (37.9) ","  2279 (48.1) ","  2826 (54.6) ","   563 (61.9) ","  2546 (44.3) "," 0.219"
"race (%)"," ","  ","   ","  ","   ","  ","  ","   ","  "," 0.196"
"   Asian/Other","  1234 ( 3.9) ","   318 ( 3.9) ","    30 ( 3.1) ","   267 ( 5.0) ","    15 ( 2.7) ","   131 ( 2.8) ","   223 ( 4.3) ","    51 ( 5.6) ","   199 ( 3.5) ",""
"   Black","  2964 ( 9.4) ","   444 ( 5.5) ","   152 (15.7) ","   309 ( 5.8) ","    48 ( 8.8) ","   319 ( 6.7) ","   802 (15.5) ","   124 (13.6) ","   766 (13.3) ",""
"   White"," 27252 (86.7) ","  7293 (90.5) ","   789 (81.3) ","  4725 (89.1) ","   483 (88.5) ","  4286 (90.5) ","  4154 (80.2) ","   735 (80.8) ","  4787 (83.2) ",""
"ethnicity = Non-Hispanic (%)"," 29101 (92.5) ","  7285 (90.4) ","   912 (93.9) ","  4898 (92.4) ","   507 (92.9) ","  4463 (94.2) ","  4836 (93.4) ","   836 (91.9) ","  5364 (93.3) "," 0.055"
"HF = 1 (%)","   500 ( 1.6) ","    65 ( 0.8) ","    11 ( 1.1) ","    75 ( 1.4) ","     6 ( 1.1) ","   208 ( 4.4) ","    91 ( 1.8) ","    18 ( 2.0) ","    26 ( 0.5) "," 0.093"
"T2DM = 1 (%)","  5047 (16.0) ","  1792 (22.2) ","   175 (18.0) ","   960 (18.1) ","    88 (16.1) ","   703 (14.8) ","   519 (10.0) ","   246 (27.0) ","   564 ( 9.8) "," 0.186"
"CKD = 1 (%)","   889 ( 2.8) ","   145 ( 1.8) ","    15 ( 1.5) ","   135 ( 2.5) ","    13 ( 2.4) ","   255 ( 5.4) ","   224 ( 4.3) ","    46 ( 5.1) ","    56 ( 1.0) "," 0.117"
"Sleep_Apnea = 1 (%)","  2236 ( 7.1) ","   545 ( 6.8) ","    55 ( 5.7) ","   461 ( 8.7) ","    36 ( 6.6) ","   343 ( 7.2) ","   325 ( 6.3) ","    68 ( 7.5) ","   403 ( 7.0) "," 0.041"
"antidepressants = 1 (%)","  3864 (12.3) ","   898 (11.1) ","   130 (13.4) ","   653 (12.3) ","    89 (16.3) ","   677 (14.3) ","   587 (11.3) ","   108 (11.9) ","   722 (12.6) "," 0.059"
"hormonal_therapy = 1 (%)","   984 ( 3.1) ","   204 ( 2.5) ","    38 ( 3.9) ","   148 ( 2.8) ","    23 ( 4.2) ","   156 ( 3.3) ","   170 ( 3.3) ","    15 ( 1.6) ","   230 ( 4.0) "," 0.060"
"statins = 1 (%)","  6895 (21.9) ","  1939 (24.1) ","   280 (28.8) ","  1192 (22.5) ","   194 (35.5) ","  1079 (22.8) ","   902 (17.4) ","   326 (35.8) ","   983 (17.1) "," 0.200"
"PPI = 1 (%)","  2857 ( 9.1) ","   593 ( 7.4) ","    79 ( 8.1) ","   505 ( 9.5) ","    71 (13.0) ","   550 (11.6) ","   489 ( 9.4) ","   110 (12.1) ","   460 ( 8.0) "," 0.084"
"SBP (mean (SD))","148.17 (17.08)","148.26 (16.07)","147.73 (19.44)","147.43 (15.38)","143.45 (18.50)","145.55 (16.64)","151.09 (18.42)","148.11 (18.53)","148.80 (17.75)"," 0.146"
"DBP (mean (SD))"," 87.74 (11.66)"," 88.69 (10.81)"," 87.97 (13.01)"," 87.44 (10.78)"," 85.23 (10.68)"," 84.14 (11.62)"," 88.50 (12.80)"," 85.10 (13.45)"," 89.57 (11.35)"," 0.201"
"BMI (mean (SD))"," 31.73 (7.22)"," 31.72 (7.16)"," 33.10 (7.85)"," 31.49 (6.90)"," 32.92 (7.64)"," 31.13 (7.20)"," 30.93 (6.91)"," 31.61 (6.93)"," 32.84 (7.59)"," 0.138"
"total_cholesterol (mean (SD))","193.86 (39.21)","194.64 (39.16)","192.69 (38.92)","193.55 (39.08)","192.02 (39.82)","189.42 (40.16)","194.84 (38.91)","188.46 (39.80)","197.06 (38.34)"," 0.087"
"creatinine (mean (SD))","  0.94 (0.29)","  0.93 (0.25)","  0.94 (0.28)","  0.95 (0.28)","  0.95 (0.32)","  0.97 (0.36)","  0.97 (0.34)","  1.00 (0.36)","  0.91 (0.22)"," 0.103"
"control_6months = 1 (%)","  8897 (28.3) ","  2423 (30.1) ","   296 (30.5) ","  1464 (27.6) ","   165 (30.2) ","  1392 (29.4) ","  1245 (24.0) ","   252 (27.7) ","  1660 (28.9) "," 0.053"
"SBP_diff_6months (mean (SD))","-12.80 (18.27)","-13.91 (17.51)","-12.96 (19.94)","-11.74 (17.35)"," -7.79 (18.33)"," -9.38 (18.49)","-14.05 (18.70)","-11.19 (19.25)","-14.62 (18.55)"," 0.156"
