"split_var_name","fn1","fn2"
"BMI",29.9989311570059,5.31452730002582
"CKD",0,0
"DBP",87.5833759365544,10.5502484965434
"HF",0,0
"PPI",0,0
"SBP",150.034411153418,14.3721152671998
"Sleep_Apnea",0,0
"T2DM",0,0
"age",6.09086577108909,20.4552104571779
"antidepressants",0,0
"creatinine",0.953600266493386,0.21633983188321
"ethnicity",1,0
"gender",1,0
"hba1c",5.83582226594524,0.731596841199323
"hormonal_therapy",0,0
"race",1.87913907284768,0.326019567500647
"statins",0,0
"total_cholesterol",193.84820727147,33.6990289574486
