"split_var_name","fn1","fn2"
"BMI",30.8397140964276,5.54152658903646
"CKD",0,0
"DBP",88.623239325919,8.06955554004553
"HF",0,0
"PPI",0,0
"SBP",146.940030120077,11.4595620510387
"Sleep_Apnea",0,0
"T2DM",0,0
"age",5.86907447337874,19.7005037450064
"antidepressants",0,0
"creatinine",0.909698621269662,0.158688711720332
"ethnicity",1,0
"gender",1,0
"hba1c",6.2459702241391,1.1301135643726
"hormonal_therapy",0,0
"race",1.74434087882823,0.436521780647915
"statins",0,0
"total_cholesterol",192.697153488763,33.4022097887784
