"split_var_name","fn1","fn2"
"BMI",32.436444605932,6.29162281771878
"CKD",0,0
"DBP",88.8557849092472,9.04593305349574
"HF",0,NA
"PPI",0,0
"SBP",147.202656885983,14.5703918097497
"Sleep_Apnea",0,0
"T2DM",0,0
"age",6.15129314283977,20.5202102219251
"antidepressants",0,0
"creatinine",0.891619691898365,0.158562336602106
"ethnicity",1,0
"gender",1,0
"hba1c",5.90651316353657,0.778646426492252
"hormonal_therapy",0,0
"race",1.92696371152963,0.260255839671805
"statins",0,0
"total_cholesterol",196.833300266425,32.3375177399992
