"split_var_name","fn1","fn2"
"BMI",30.197344727032,5.32273645935107
"CKD",0,0
"DBP",87.9995784712171,10.9914003685841
"HF",0,0
"PPI",0,0
"SBP",153.759771753922,18.3012300533947
"Sleep_Apnea",0,0
"T2DM",0,0
"age",6.33760652633115,20.8794542614211
"antidepressants",0,0
"creatinine",0.954670302206826,0.209606671659581
"ethnicity",1,0
"gender",1,0
"hba1c",5.83234311141668,0.751083021828639
"hormonal_therapy",0,0
"race",1.86626248216833,0.340430794014096
"statins",0,0
"total_cholesterol",194.322830792396,32.140091833315
