"split_var_name","fn1","fn2"
"BMI",30.9749507002072,5.44369361939048
"CKD",0,0
"DBP",88.5473301080717,8.74431570025382
"HF",0,0
"PPI",0,0
"SBP",148.092329049229,14.2323789908865
"Sleep_Apnea",0,0
"T2DM",0,0
"age",5.92402131686413,19.9575056163339
"antidepressants",0,0
"creatinine",0.914451625066456,0.16125282408501
"ethnicity",1,0
"gender",1,0
"hba1c",6.25906124774824,1.12576080964702
"hormonal_therapy",0,0
"race",1.79483282674772,0.403977245172801
"statins",0,0
"total_cholesterol",192.78019626055,33.0376578967583
