"split_var_name","fn1","fn2"
"BMI",32.1390625840708,6.18286307265163
"CKD",0,0
"DBP",89.1175863642827,10.8410201613886
"HF",0,0
"HbA1c",6.18164224995478,1.14878532256353
"PPI",0,0
"SBP",149.407843881463,17.9123464225319
"Sleep_Apnea",0,0
"T2DM",0,0
"age",5.36641456395161,19.5693341568038
"antidepressants",0,0
"creatinine",0.9418092623498,0.194511661774874
"ethnicity",1,0
"gender",1,0
"hormonal_therapy",0,0
"race",1.917004048583,0.276015821139949
"statins",0,0
"total_cholesterol",195.032306611819,33.730561994867
