"split_var_name","fn1","fn2"
"BMI",30.9272968015104,5.40612976752319
"CKD",0,0
"DBP",87.7075034679228,8.95254957971355
"HF",0,0
"PPI",0,0
"SBP",149.583171344699,14.4905924879579
"Sleep_Apnea",0,0
"T2DM",0,0
"age",5.98461498854375,20.2222744888042
"antidepressants",0,0
"creatinine",0.937536260526724,0.179091817382072
"ethnicity",1,0
"gender",1,0
"hba1c",6.28324022837066,1.27165936403948
"hormonal_therapy",0,0
"race",1.42682926829268,0.494794572850411
"statins",0,0
"total_cholesterol",196.801604196761,33.2520039097008
