"split_var_name","fn1","fn2"
"BMI",32.7097818544956,6.23620583452113
"CKD",0,0
"DBP",90.5286170504942,9.56680144673178
"HF",0,0
"PPI",0,0
"SBP",150.97619885577,16.4290015861836
"Sleep_Apnea",0,0
"T2DM",0,0
"age",5.92569871004438,20.1660122339789
"antidepressants",0,0
"creatinine",0.897022650547309,0.171103482495681
"ethnicity",1,0
"gender",1,0
"hba1c",5.83550153783658,0.649350560060824
"hormonal_therapy",0,0
"race",1.90951638065523,0.28692933511986
"statins",0,0
"total_cholesterol",197.897229318137,32.173293542549
